iter	Logloss
123	0.2176114209
124	0.2172767852
125	0.2168110971
126	0.2165169112
127	0.2161077055
128	0.2153580368
129	0.2149199227
130	0.2146027082
131	0.2141468955
132	0.2137927968
133	0.2073618112
134	0.206858845
135	0.2066227373
136	0.2062713823
137	0.2058856736
138	0.2056166439
139	0.2053027483
140	0.2047534828
141	0.2042831384
142	0.2039257389
143	0.2035594366
144	0.203266924
145	0.2030363813
146	0.2027058875
147	0.2024599681
148	0.2021689619
149	0.201817979
150	0.2012879592
151	0.2009011603
152	0.2004263819
153	0.2000454053
154	0.1996841197
155	0.1991069943
156	0.1985521629
157	0.1980899719
158	0.1977750426
159	0.1974426405
160	0.1969602908
161	0.1967085058
162	0.1957595248
163	0.1949099668
164	0.1945433553
165	0.194283185
166	0.1940116723
167	0.1936715723
168	0.1933570503
169	0.1930693864
170	0.1928788016
171	0.1926712851
172	0.1924547862
173	0.1920007116
174	0.1917066024
175	0.1914081262
176	0.1911727817
177	0.1908907788
178	0.1907096779
179	0.1903149155
180	0.1900591174
181	0.1898736946
182	0.1894189008
183	0.1891725028
184	0.188845184
185	0.1886396585
186	0.1884407674
187	0.1880533637
188	0.1878494241
189	0.187505993
190	0.1871236926
191	0.1867014475
192	0.1865144421
193	0.1862286676
194	0.1859847009
195	0.1857583742
196	0.182289505
197	0.1820182216
198	0.1817828976
199	0.1815284538
200	0.1796510095
201	0.1794237597
202	0.1791908022
203	0.178956581
204	0.1787842561
205	0.1785980038
206	0.1782598992
207	0.1780006495
208	0.1777405304
209	0.1774918623
210	0.1772256985
211	0.1769845098
212	0.1767762745
213	0.1762298269
214	0.1759612777
215	0.1757583789
216	0.1754954341
217	0.1751916139
218	0.1747548696
219	0.174509472
220	0.1743471494
221	0.1741406912
222	0.1739589058
223	0.1737708351
224	0.1736242055
225	0.1733817545
226	0.1731502534
227	0.1729067384
228	0.1726841422
229	0.1723222349
230	0.1720302221
231	0.1718478868
232	0.1715490339
233	0.1713153481
234	0.1710178411
235	0.1708203818
236	0.170601764
237	0.1703114177
238	0.1701605683
239	0.1699490112
240	0.1697212665
241	0.1695472696
242	0.1693290193
243	0.1690235712
244	0.1686285012
245	0.1684545078
246	0.1682634306
247	0.1680647551
248	0.1679291107
249	0.167734827
250	0.1675408359
251	0.1673150396
252	0.1663182645
253	0.1659707491
254	0.1657790267
255	0.1654130014
256	0.165238674
257	0.1650662782
258	0.1647205395
259	0.1644735219
260	0.1643076594
261	0.1641973843
262	0.1640007779
263	0.1638270383
264	0.1635353364
265	0.162882138
266	0.1626641218
267	0.162433115
268	0.1622761659
269	0.162110603
270	0.1617468567
271	0.1615561965
272	0.1611944829
273	0.1609641502
274	0.1608004557
275	0.1606337771
276	0.1578090901
277	0.1575690303
278	0.157360771
279	0.1571210248
280	0.1555468911
281	0.1551828018
282	0.1549822552
283	0.1548491168
284	0.1547084561
285	0.1541148592
286	0.1532321588
287	0.1512764438
288	0.1511515859
289	0.1510145237
290	0.1507684669
291	0.1505914143
292	0.1504126118
293	0.1502290425
294	0.1501228128
295	0.149903325
296	0.1496988295
297	0.1495649208
298	0.1494035621
299	0.1492441557
300	0.1490401866
301	0.1488328852
302	0.1487110625
303	0.148620782
304	0.1484905787
305	0.1483920715
306	0.1482610293
307	0.1480465571
308	0.1478733742
309	0.1477018714
310	0.1466042747
311	0.1463835803
312	0.1462024883
313	0.1460131346
314	0.1458288877
315	0.145608563
316	0.145418957
317	0.1451493577
318	0.144990087
319	0.1448408555
320	0.1446067049
321	0.1444254547
322	0.1442383291
323	0.1441221535
324	0.1439448241
325	0.1437732561
326	0.1436229354
327	0.1434743742
328	0.1433267791
329	0.1431994235
330	0.142977922
331	0.1428573736
332	0.1426792394
333	0.1425768565
334	0.1424073283
335	0.1421949603
336	0.1419489458
337	0.1417886006
338	0.1416613019
339	0.1413952023
340	0.1411777348
341	0.1409129939
342	0.1407656753
343	0.140593509
344	0.140378187
345	0.1402198179
346	0.1400845868
347	0.1399677327
348	0.1398443238
349	0.1396644396
350	0.1395350302
351	0.1393467426
352	0.1392169996
353	0.1391167801
354	0.1389085114
355	0.1388048817
356	0.1385697117
357	0.1383711261
358	0.1382164434
359	0.1380272705
360	0.1379077881
361	0.1377914606
362	0.1376751104
363	0.1375179305
364	0.1365706207
365	0.1363816227
366	0.1361980277
367	0.1361259073
368	0.1359077464
369	0.1356540777
370	0.1355188519
371	0.1353996037
372	0.1352882638
373	0.1351801502
374	0.1350100328
375	0.1349344309
376	0.1348506472
377	0.1347460084
378	0.1345530811
379	0.1343977614
380	0.1341691797
381	0.1340331789
382	0.1338945716
383	0.1338211015
384	0.1336881428
385	0.1335537943
386	0.1333429881
387	0.1332243684
388	0.1330889341
389	0.1329896297
390	0.132882783
391	0.1327376854
392	0.1325876844
393	0.1324694562
394	0.1323244076
395	0.1321753076
396	0.1319998275
397	0.1319242167
398	0.1318264966
399	0.1316120419
400	0.1314404353
401	0.1312837388
402	0.1311144025
403	0.1309865744
404	0.1308896615
405	0.13074759
406	0.1306051906
407	0.1303048957
408	0.1301743658
409	0.1300089066
410	0.1299285395
411	0.1297102993
412	0.1295993601
413	0.1294671383
414	0.1292916589
415	0.1291923171
416	0.1290935673
417	0.1289455788
418	0.1287511393
419	0.1285793521
420	0.1284312812
421	0.1282367401
422	0.1280787751
423	0.1278799888
424	0.1277179105
425	0.1276355001
426	0.1275121922
427	0.1273867816
428	0.1271758515
429	0.1270577224
430	0.1269376466
431	0.1268513337
432	0.1266169195
433	0.1260820044
434	0.1259660959
435	0.1259037292
436	0.1257882652
437	0.1256543245
438	0.125569174
439	0.1254658449
440	0.1253078396
441	0.125200754
442	0.1250581192
443	0.1249321234
444	0.1247361313
445	0.1245978022
446	0.1243925059
447	0.1242866472
448	0.1241011273
449	0.1239884089
450	0.1238295572
451	0.1236838693
452	0.1233931532
453	0.1232610495
454	0.1231519061
455	0.1230807047
456	0.1229764507
457	0.1228784159
458	0.1227242071
459	0.1226063422
460	0.1224730595
461	0.1223391952
462	0.1222547723
463	0.120978356
464	0.1208797521
465	0.1208078263
466	0.1207136347
467	0.1201250504
468	0.1199981657
469	0.1198403805
470	0.1196923469
471	0.1195048612
472	0.1193690535
473	0.1192653708
474	0.1191235811
475	0.1190141585
476	0.1189131623
477	0.1188054534
478	0.118702194
479	0.1185782946
480	0.1185096365
481	0.1183836124
482	0.1183028522
483	0.1181809296
484	0.1180583579
485	0.1179125089
486	0.1178449621
487	0.1176972557
488	0.1176130224
489	0.1174867016
490	0.1173891944
491	0.1172827793
492	0.1171885428
493	0.1171065936
494	0.1170022399
495	0.1169051059
496	0.1167900573
497	0.1167112086
498	0.1166105045
499	0.1165080094
500	0.1153115093
501	0.1152532899
502	0.1151115011
503	0.114996327
504	0.1149043045
505	0.1147668439
506	0.1146928625
507	0.1145714862
508	0.1144846008
509	0.114396956
510	0.1142896659
511	0.1141815207
512	0.1140808121
513	0.1139891181
514	0.1138261444
515	0.1136992168
516	0.1135716327
517	0.1134761818
518	0.1133834444
519	0.1132808842
520	0.1131624898
521	0.1130465864
522	0.1129496388
523	0.1128741715
524	0.1126958437
525	0.1125677847
526	0.1124308709
527	0.1123182635
528	0.1122130416
529	0.1120637702
530	0.111899948
531	0.1117167174
532	0.1108629242
533	0.1107669303
534	0.1106213956
535	0.1105357689
536	0.1104737096
537	0.1103900816
538	0.1102505649
539	0.109650276
540	0.1095757147
541	0.1094557576
542	0.1093796523
543	0.1092773788
544	0.1091660417
545	0.1090902571
546	0.1089867433
547	0.1088760616
548	0.1087801119
549	0.1086324104
550	0.1085404449
551	0.108404933
552	0.1082492278
553	0.1081405282
554	0.1080315022
555	0.1079526955
556	0.1078557233
557	0.1077630343
558	0.1076139363
559	0.1074961836
560	0.1074028483
561	0.1073085379
562	0.1072007789
563	0.1070891898
564	0.1069731937
565	0.1068850077
566	0.1068096592
567	0.1067379865
568	0.1059826377
569	0.1058947002
570	0.1057901636
571	0.105704028
572	0.1055968228
573	0.1054753719
574	0.1053805203
575	0.1052740415
576	0.1051545473
577	0.1050252862
578	0.1049063975
579	0.1048051445
580	0.1046913793
581	0.1046110828
582	0.1045483566
583	0.1044231765
584	0.1043444807
585	0.1042699734
586	0.1041702357
587	0.1040849715
588	0.1040153873
589	0.1039298377
590	0.1038528116
591	0.1037307546
592	0.1035969741
593	0.1034899275
594	0.1033423402
595	0.1032452812
596	0.1031478226
597	0.1030637022
598	0.1029265828
599	0.1028635415
600	0.1027733841
601	0.1026508037
602	0.1025374921
603	0.1020174887
604	0.1019281268
605	0.1013979346
606	0.1013018738
607	0.1011870511
608	0.101069583
609	0.1009710379
610	0.1009001533
611	0.1008158359
612	0.1007534883
613	0.1006690999
614	0.1005910906
615	0.1005173492
616	0.100400302
617	0.10030057
618	0.1001976697
619	0.100147054
620	0.1000506046
621	0.09996928875
622	0.09988824228
623	0.09980559472
624	0.09970852945
625	0.09965162098
626	0.09958908994
627	0.0994985476
628	0.09941321533
629	0.0993205589
630	0.09914091748
631	0.09906410351
632	0.09898926214
633	0.09891998641
634	0.09886827578
635	0.09877379277
636	0.0986692705
637	0.09857593584
638	0.09846255513
639	0.09840008831
640	0.09834550276
641	0.09824495614
642	0.09818333808
643	0.09810745184
644	0.09803722072
645	0.09795086006
646	0.09782444916
647	0.09770550731
648	0.09765069762
649	0.0975587307
650	0.09751546133
651	0.09742554524
652	0.09735804756
653	0.0972722578
654	0.09722151997
655	0.0971417879
656	0.09706123618
657	0.09697351985
658	0.09691193215
659	0.09681523282
660	0.09676019157
661	0.0966661038
662	0.09656367816
663	0.09649816943
664	0.09641680581
665	0.09633227481
666	0.09625777562
667	0.09617343909
668	0.09607326583
669	0.09600349055
670	0.09593571035
671	0.09585701067
672	0.09578091507
673	0.09572616123
674	0.0956626465
675	0.09559027005
676	0.09554388735
677	0.09545016503
678	0.09473758302
679	0.09467075322
680	0.09462040127
681	0.09450338495
682	0.09440377592
683	0.09431953691
684	0.09420613907
685	0.0941131767
686	0.09399587985
687	0.09393506862
688	0.09382481003
689	0.09370934616
690	0.09361261483
691	0.09351410225
692	0.09341214986
693	0.09335522401
694	0.09327755712
695	0.09306942335
696	0.09297708827
697	0.09289608506
698	0.09281110206
699	0.09272240047
700	0.09265167698
701	0.09257828093
702	0.09248688187
703	0.0924185718
704	0.09236765329
705	0.09229619781
706	0.09223959588
707	0.09218402302
708	0.09210434848
709	0.0920130041
710	0.09191236803
711	0.09186041118
712	0.09181073017
713	0.0917512875
714	0.09167691235
715	0.09158875366
716	0.09151091294
717	0.09140850044
718	0.09135051197
719	0.09126542473
720	0.09117875075
721	0.09111115677
722	0.09106540149
723	0.09099919294
724	0.09094443784
725	0.09088308273
726	0.09081636584
727	0.09076259506
728	0.09065942467
729	0.09057648153
730	0.09046354126
731	0.09035830451
732	0.09027964727
733	0.09016235425
734	0.09007871602
735	0.09002639338
736	0.08993994228
737	0.08986621336
738	0.08978530836
739	0.08968588525
740	0.08960695104
741	0.08953692948
742	0.0894500971
743	0.08935465866
744	0.0892683623
745	0.08909229929
746	0.08890683896
747	0.08882426176
748	0.088733126
749	0.08867868864
750	0.08862799949
751	0.0885748084
752	0.08818817223
753	0.08812249316
754	0.08801380631
755	0.08795556365
756	0.08788143139
757	0.08780809784
758	0.08772485213
759	0.0876486209
760	0.08757615095
761	0.08750711071
762	0.08744662112
763	0.08737865117
764	0.08733211055
765	0.08723602112
766	0.08716890815
767	0.08712400933
768	0.08704907344
769	0.08695537744
770	0.0869001981
771	0.08681935412
772	0.08678146478
773	0.08668688076
774	0.08663201054
775	0.08656784074
776	0.08648681894
777	0.08639615126
778	0.0863071555
779	0.08622066073
780	0.08615742149
781	0.08587592984
782	0.08581038981
783	0.08573262513
784	0.08568292721
785	0.08564141568
786	0.08555910707
787	0.08545958476
788	0.08537784732
789	0.08530243162
790	0.08523004655
791	0.08518355387
792	0.08514592202
793	0.08504415678
794	0.08500327918
795	0.08494828413
796	0.08488464763
797	0.08477857828
798	0.08472309926
799	0.08467668376
800	0.08463565114
801	0.08456776796
802	0.08450109793
803	0.08439642716
804	0.08433490525
805	0.08428307613
806	0.08406100114
807	0.08397575245
808	0.08390319095
809	0.08381585293
810	0.08375107475
811	0.08368670353
812	0.08361721229
813	0.08356475971
814	0.08330346132
815	0.08323925008
816	0.08319586426
817	0.08314958229
818	0.08308635773
819	0.08304627581
820	0.0829741411
821	0.08290593429
822	0.08285388451
823	0.08278003124
824	0.0827235816
825	0.08268095755
826	0.08264197937
827	0.08259626426
828	0.08253501273
829	0.08248326982
830	0.0824334978
831	0.08238521286
832	0.08229922496
833	0.08220745289
834	0.08214729451
835	0.08209387017
836	0.08204182062
837	0.08196711935
838	0.08192379431
839	0.08186490156
840	0.08178591264
841	0.08168740893
842	0.08162293718
843	0.08158107807
844	0.08151023143
845	0.08140713162
846	0.08134792815
847	0.08129644104
848	0.08121300109
849	0.08113453663
850	0.08109870716
851	0.08102171156
852	0.08094580125
853	0.08088650272
854	0.08078233025
855	0.08069899771
856	0.08062682699
857	0.08055352688
858	0.08048676715
859	0.08039932655
860	0.0803425485
861	0.08027971977
862	0.08018484873
863	0.08008365946
864	0.08002877911
865	0.07995844147
866	0.07989089817
867	0.07982690463
868	0.07975150924
869	0.07969510949
870	0.07963668403
871	0.07954676082
872	0.07946164657
873	0.07938749353
874	0.07933468261
875	0.07928548091
876	0.07916161902
877	0.07909359775
878	0.07905332186
879	0.07899845454
880	0.07891515078
881	0.07710019003
882	0.07699901338
883	0.07693286655
884	0.07683272539
885	0.07678613335
886	0.07673991233
887	0.07667313003
888	0.07659918356
889	0.07654029274
890	0.07648891135
891	0.0764391385
892	0.07640419939
893	0.07635767809
894	0.07626319733
895	0.07617181728
896	0.07612816444
897	0.07607100768
898	0.07598799267
899	0.07591317618
900	0.07584236449
901	0.07581180354
902	0.07576348308
903	0.07569723769
904	0.07566162682
905	0.07561381566
906	0.0755825386
907	0.07551011643
908	0.07545419434
909	0.07541595505
910	0.07536575574
911	0.07529795909
912	0.07520681256
913	0.07514503721
914	0.07508743049
915	0.07504137499
916	0.0749877106
917	0.07492271815
918	0.07487549968
919	0.07483054517
920	0.07476933096
921	0.07472477044
922	0.07465987411
923	0.07461929502
924	0.0745692021
925	0.07449777693
926	0.07446507789
927	0.07442233518
928	0.07435711131
929	0.07430046272
930	0.07421916773
931	0.07416788487
932	0.07306939262
933	0.07301767453
934	0.07295517272
935	0.07265540921
936	0.07259882691
937	0.07255776747
938	0.07250559377
939	0.07247934989
940	0.072417743
941	0.0723588279
942	0.07228547423
943	0.07222294911
944	0.07219732939
945	0.07206927074
946	0.07200008734
947	0.07192240125
948	0.07188278351
949	0.07181179449
950	0.07177286062
951	0.07170117719
952	0.0716648253
953	0.07162208657
954	0.07158208402
955	0.0715449261
956	0.07149058629
957	0.07144187425
958	0.07138011631
959	0.07128557656
960	0.07123768417
961	0.07117899554
962	0.07112218565
963	0.07107518395
964	0.07102450346
965	0.07098807407
966	0.0709421666
967	0.07091413655
968	0.07086323283
969	0.07079785506
970	0.07075347252
971	0.07069162435
972	0.0706397186
973	0.07058901017
974	0.07054594284
975	0.07050244788
976	0.07043917266
977	0.07039376445
978	0.07036112044
979	0.07027424709
980	0.0702172692
981	0.07019197587
982	0.07014267918
983	0.07011108844
984	0.07006594057
985	0.06998966494
986	0.06995847417
987	0.06990475805
988	0.06983324401
989	0.06976492608
990	0.06969878768
991	0.06964056324
992	0.06956390536
993	0.06949433884
994	0.0694569185
995	0.06940121713
996	0.06936027306
997	0.06931415947
998	0.06924263863
999	0.06919783315
